gpio,time,temperature,humidity,measure_name
22,1695408579195,75.59,53.21,metric
22,1695408684754,75.86,56.41,metric
22,1695409118779,76.1,63.28,metric
22,1695409140785,75.3,64.97,metric
22,1695409524239,75.41,1.89,metric
22,1695409542207,75.5,66.2,metric
22,1695409659795,75.51,53.96,metric
22,1695409677220,75.7,52.39,metric
22,1695409732119,75.86,53.91,metric
22,1695409793513,75.76,60.85,metric
22,1695409897400,75.37,66.18,metric
22,1695409941885,75.66,61.27,metric
22,1695410137587,75.97,59.29,metric
22,1695410166596,75.44,61.4,metric
22,1695410193571,75.93,63.11,metric
22,1695410468195,76.2,55.77,metric
22,1695410764162,75.67,52.23,metric
22,1695410811189,76.06,51.83,metric
22,1695410987890,77.55,65.96,metric
22,1695411381268,77.08,60.04,metric
22,1695411538806,75.83,51.97,metric
22,1695411787774,77.89,55.53,metric
22,1695411932011,75.24,56.26,metric
22,1695412101689,77.78,61.03,metric
22,1695412183244,75.91,51.26,metric
22,1695412555439,75.75,51.08,metric
22,1695412977867,75.46,53.66,metric
22,1695413002931,75.65,56.96,metric
22,1695413081956,75.81,62.13,metric
22,1695413233557,76.11,55.06,metric
22,1695413251633,75.89,53.12,metric
22,1695413526477,75.53,64.4,metric
22,1695413627778,75.5,52.21,metric
22,1695413643181,75.44,52.59,metric
22,1695414156498,75.8,63.34,metric
22,1695414236922,76.05,64.08,metric
22,1695414509652,77.51,62.92,metric
22,1695415187451,77.2,59.69,metric
22,1695415261898,77.45,63.27,metric
22,1695415484266,77.3,51.63,metric
22,1695415521215,77.33,55.54,metric
22,1695415693703,77.4,61.32,metric
22,1695415980830,77.6,61.32,metric
22,1695416155169,77.34,52.1,metric
22,1695416193195,77.66,52.53,metric
22,1695416581887,77.27,52.58,metric
22,1695416964883,77.24,54.34,metric
22,1695417131880,77.59,60.26,metric
22,1695417151879,77.67,58.37,metric
22,1695417211440,77.64,52.79,metric
22,1695417364605,77.29,56.69,metric
22,1695417460217,77.77,60.08,metric
22,1695417600470,77.17,49.84,metric
22,1695417652392,77.63,49.3,metric
22,1695417903517,77.1,54.0,metric
22,1695418271315,77.61,55.23,metric
22,1695418604211,77.87,60.89,metric
22,1695418762472,75.76,57.41,metric
22,1695418951923,77.61,61.36,metric
22,1695418989880,77.63,58.92,metric
22,1695419011885,77.19,56.86,metric
22,1695419217035,77.03,64.72,metric
22,1695419231536,77.81,65.81,metric
22,1695419372809,77.01,54.54,metric
22,1695419582147,77.24,64.54,metric
22,1695419782351,76.17,51.56,metric
22,1695419860398,75.59,55.89,metric
22,1695419959885,75.6,65.8,metric
22,1695421032817,75.52,64.26,metric
22,1695421532953,75.54,53.01,metric
22,1695422058731,75.35,63.13,metric
22,1695422071741,76.07,63.17,metric
22,1695422321136,75.65,52.19,metric
22,1695422337094,75.31,52.65,metric
22,1695422612411,75.73,55.95,metric
22,1695422641881,75.32,52.8,metric
22,1695422845469,75.57,65.25,metric
22,1695423017130,75.54,51.04,metric
22,1695423084650,75.59,55.7,metric
22,1695423550459,76.16,65.92,metric
22,1695423776854,75.86,51.56,metric
22,1695423904675,75.73,65.94,metric
22,1695424033115,75.21,56.69,metric
22,1695424170829,76.16,55.74,metric
22,1695424485504,75.46,51.27,metric
22,1695424673055,75.76,65.16,metric
22,1695424741534,75.28,58.68,metric
22,1695424757012,75.81,54.13,metric
22,1695424817969,75.21,52.82,metric
22,1695424891437,76.1,53.6,metric
22,1695425362433,75.59,64.15,metric
22,1695425431946,75.97,64.02,metric
22,1695425545180,75.6,51.18,metric
22,1695425864517,75.63,54.71,metric
22,1695425880469,75.72,53.0,metric
22,1695426132237,75.86,65.03,metric
22,1695426282220,75.57,50.94,metric
22,1695426382715,75.38,59.31,metric
22,1695426503356,75.21,62.58,metric
22,1695426635324,75.39,52.53,metric
22,1695426655934,75.48,51.06,metric
22,1695426861398,76.14,65.71,metric
22,1695426934706,75.3,54.58,metric
22,1695426951641,75.65,52.78,metric
22,1695427162310,75.51,64.33,metric
22,1695427593564,75.6,65.15,metric
22,1695427606514,75.45,61.08,metric
22,1695427631543,76.14,58.8,metric
22,1695427686482,75.65,54.76,metric
22,1695427750029,75.3,54.86,metric
22,1695427915401,75.63,66.35,metric
22,1695428295990,75.54,68.21,metric
22,1695428373559,75.77,56.19,metric
22,1695428402948,75.64,54.59,metric
22,1695428700042,75.39,61.07,metric
22,1695429060433,75.41,60.36,metric
22,1695429112840,76.14,57.1,metric
22,1695429305795,75.82,66.95,metric
22,1695429619778,74.23,62.69,metric
22,1695429797106,75.96,61.01,metric
22,1695430022939,75.25,67.69,metric
22,1695430133961,75.48,62.06,metric
22,1695430258603,73.53,53.53,metric
22,1695430395123,73.92,67.8,metric
22,1695430496446,75.31,64.38,metric
22,1695430944078,73.85,55.53,metric
22,1695430964100,73.5,54.17,metric
22,1695431143561,73.94,68.15,metric
22,1695431215584,74.21,64.32,metric
22,1695431287032,73.73,58.36,metric
22,1695431438734,73.44,64.19,metric
22,1695431498223,73.71,68.42,metric
22,1695431535230,74.12,69.95,metric
22,1695431683802,73.53,54.07,metric
22,1695432014286,73.66,58.5,metric
22,1695432104936,73.89,62.02,metric
22,1695432294599,73.9,66.53,metric
22,1695432620105,74.19,70.8,metric
22,1695284847864,77.98,63.09,metric
22,1695285032829,78.0,63.44,metric
22,1695285064363,77.92,64.56,metric
22,1695285238130,77.87,63.53,metric
22,1695285277756,77.88,63.64,metric
22,1695285745028,77.86,64.87,metric
22,1695285763019,77.0,64.35,metric
22,1695285811979,77.78,64.98,metric
22,1695286034502,77.24,64.61,metric
22,1695286116158,77.32,64.07,metric
22,1695286374527,77.59,64.56,metric
22,1695286539639,77.48,64.51,metric
22,1695286718037,77.72,64.78,metric
22,1695286820968,77.66,64.24,metric
22,1695286964125,77.53,63.69,metric
22,1695287649507,77.56,64.91,metric
22,1695287663485,77.07,64.73,metric
22,1695287815320,77.7,64.31,metric
22,1695288407874,77.94,64.34,metric
22,1695288510441,77.69,64.6,metric
22,1695288596932,77.32,64.5,metric
